LUGAR_STR,Amenazas,Delito sexual,Extorsión,Fraude bancario,Homicidio familiar,Lesiones,Otro delito,Robo accesorios,Robo banco/cajero,Robo calle,Robo negocio,Robo transporte,Robo vehículo,Robo vivienda,Secuestro
Mercado / tianguis,9.177820267686425,4.397705544933078,11.281070745697896,12.715105162523901,0.28680688336520077,2.8680688336520075,0.9560229445506693,8.508604206500955,15.965583173996176,4.3021032504780115,6.5009560229445515,10.325047801147228,0.47801147227533464,12.237093690248566,0.0
Negocio / empresa,7.014276846679081,4.717566728739913,9.559279950341402,7.138423339540657,0.2482929857231533,1.9242706393544382,0.4345127250155183,19.490999379267535,6.641837368094351,19.615145872129112,1.2414649286157666,5.648665425201738,2.5450031036623217,13.594040968342643,0.186219739292365
Otro comercio,7.676348547717843,4.149377593360995,8.506224066390041,10.78838174273859,0.4149377593360996,4.564315352697095,0.2074688796680498,15.975103734439832,11.20331950207469,7.261410788381744,2.6970954356846475,8.29875518672199,3.319502074688797,14.937759336099585,0.0
Otro lugar,10.56338028169014,3.5211267605633805,13.849765258215962,7.511737089201878,0.11737089201877934,1.4084507042253522,0.11737089201877934,10.44600938967136,10.915492957746478,15.727699530516432,1.8779342723004695,7.394366197183098,4.225352112676056,12.323943661971832,0.0
Parque / área verde,10.629067245119305,4.772234273318872,10.629067245119305,7.592190889370933,1.0845986984815619,4.772234273318872,0.21691973969631237,14.316702819956618,6.29067245119306,9.11062906724512,1.735357917570499,9.11062906724512,3.2537960954446854,16.48590021691974,0.0
Por teléfono,10.097719869706841,8.469055374592834,12.703583061889251,9.446254071661238,0.0,3.5830618892508146,1.3029315960912053,18.892508143322477,7.166123778501629,3.5830618892508146,3.908794788273615,4.88599348534202,1.9543973941368076,14.006514657980457,0.0
Restaurante,11.477987421383649,2.8301886792452833,14.465408805031446,6.60377358490566,0.15723270440251574,1.8867924528301887,0.15723270440251574,16.50943396226415,8.333333333333332,9.90566037735849,1.729559748427673,5.50314465408805,6.761006289308176,13.364779874213836,0.3144654088050315
Terminal transporte,7.880434782608696,2.989130434782609,19.021739130434785,7.608695652173914,0.1358695652173913,3.532608695652174,0.2717391304347826,8.152173913043478,9.782608695652174,11.684782608695652,10.190217391304348,10.054347826086957,1.4945652173913044,6.7934782608695645,0.4076086956521739
Tienda conveniencia,7.13737528779739,5.065234075211052,10.283960092095166,9.363008442056792,0.3069838833461243,2.225633154259401,0.6907137375287797,17.191097467382964,12.202609363008442,6.676899462778205,1.9953952417498082,5.832693783576362,3.069838833461243,17.498081350729088,0.4604758250191865
Transporte público,12.38390092879257,2.786377708978328,6.656346749226007,8.04953560371517,0.30959752321981426,3.560371517027864,0.7739938080495357,17.027863777089784,5.88235294117647,4.798761609907121,2.786377708978328,14.241486068111456,0.9287925696594427,18.885448916408667,0.9287925696594427
Vehículo particular,8.89487870619946,4.177897574123989,7.547169811320755,7.412398921832884,0.0,4.31266846361186,0.13477088948787064,14.285714285714285,11.05121293800539,15.22911051212938,2.4258760107816713,7.008086253369273,2.964959568733154,14.555256064690028,0.0
Vivienda ajena,10.222222222222223,4.0888888888888895,9.866666666666667,8.177777777777779,0.26666666666666666,3.022222222222222,0.26666666666666666,19.11111111111111,13.866666666666665,10.222222222222223,1.866666666666667,5.866666666666666,2.2222222222222223,10.755555555555556,0.17777777777777778
Vivienda propia,7.091469681397738,4.72764645426516,9.866392600205549,7.913669064748201,0.3083247687564234,3.391572456320658,0.41109969167523125,16.135662898252825,8.941418293936279,15.107913669064748,1.7471736896197325,6.783144912641316,4.522096608427543,12.744090441932169,0.3083247687564234
