Unnamed: 0,ID_VIV,ID_HOG,ID_PER,ID_DEL,UPM,VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_5A_1,BP1_5A_2,BP1_5A_3,BP1_5A_4,BP1_5A_9,BP1_6,BP1_7,BP1_8,BP1_9,BP1_10_1,BP1_10_2,BP1_10_9,BP1_11,BP1_12_1,BP1_12_2,BP1_12_3,BP1_12_4,BP1_12_5,BP1_12_9,BP1_13,BP1_14_1,BP1_14_2,BP1_14_3,BP1_14_4,BP1_14_9,BP1_15,BP1_16_1,BP1_16_2,BP1_16_3,BP1_16_4,BP1_16_9,BP1_17,BP1_18,BP1_19_1,BP1_19_2,BP1_19_3,BP1_19_4,BP1_19_5,BP1_19_6,BP1_19_7,BP1_19_8,BP1_20,BP1_21,BP1_22,BP1_23,BP1_24,BP1_25,BP1_26,BP1_27,BP1_28,BP1_29,BP1_30,BP1_31_01,BP1_31_02,BP1_31_03,BP1_31_04,BP1_31_05,BP1_31_06,BP1_31_07,BP1_31_08,BP1_31_99,BP1_32_1,BP1_32_2,BP1_32_3,BP1_32_4,BP1_32_5,BP1_32_9,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,BP2_1,BP3_1_01,BP3_1_02,BP3_1_03,BP3_1_04,BP3_1_05,BP3_1_06,BP3_1_07,BP3_1_08,BP3_1_09,BP3_1_10,BP3_1_11,BP3_1_12,BP3_1_99,BP3_2,BP4_1,BP5_1,BP5_1A_1,BP5_1A_2,BP5_1A_3,BP5_1A_4,BP5_2_1,BP5_2_2,BP5_2_3,BP5_3,BP6_1,BP6_2,BP6_3,BP7_1,FAC_DEL,FAC_DEL_AM,DOMINIO,ESTRATO,EST_DIS,UPM_DIS,TIPO_DELITO_STR,LUGAR_STR,SEXO_STR
16381,1417979.02,1417979.02.01,1417979.02.01.01,1417979.02.01.01.02.1,1417979,2,1,1,1,2,1,A,2,51,2.0,6,14,39,4,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,3.0,,,,,,,2,,,,,,,,,,,,,,,,1,800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,954.0,U,3,280,6350,Robo de accesorios de vehículo,En su vivienda,Mujer
16382,1416804.03,1416804.03.01,1416804.03.01.01,1416804.03.01.01.02.1,1416804,3,1,1,1,2,1,A,2,38,2.0,11,14,39,3,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,4.0,,,,,,,2,,,,,,,,,,,,,,,,1,2000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,1193.0,U,4,281,6398,Robo de accesorios de vehículo,En su vivienda,Mujer
16383,1414179.05,1414179.05.01,1414179.05.01.02,1414179.05.01.02.05.1,1414179,5,1,1,2,5,2,A,2,62,2.0,4,14,39,2,1,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,2.0,,,,,,,,,2,,,7.0,,,,,,,2,,,,,,,,,,,,,,,,1,2000.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2680,2680.0,U,3,280,6371,Robo en calle (a transeúnte),En su vivienda,Mujer
16384,1402567.04,1402567.04.01,1402567.04.01.01,1402567.04.01.01.05.1,1402567,4,1,1,1,5,1,A,1,58,2.0,2,14,39,1,1,,,,,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,6.0,,,,,,,2,,,,,,,,,,,,,,,,1,1500.0,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1907,1907.0,U,3,280,6345,Robo en calle (a transeúnte),En su vivienda,Hombre
16385,1402567.03,1402567.03.01,1402567.03.01.03,1402567.03.01.03.05.1,1402567,3,1,1,1,5,3,A,2,18,2.0,6,14,39,3,1,,,,,,1.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,2.0,,,,,,,,,2,,,6.0,,,,,,,2,,,,,,,,,,,,,,,,1,9999999.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2861,2861.0,U,3,280,6345,Robo en calle (a transeúnte),En su vivienda,Mujer
16386,1402728.05,1402728.05.01,1402728.05.01.04,1402728.05.01.04.04.1,1402728,5,1,1,1,4,4,A,1,20,2.0,2,14,39,2,2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1.0,6.0,,4.0,2.0,2.0,2,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1,40000.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,1006,1006.0,U,2,279,6231,Robo en transporte público,En su vivienda,Hombre
16387,1403960.02,1403960.02.01,1403960.02.01.04,1403960.02.01.04.05.1,1403960,2,1,1,1,5,4,A,2,25,2.0,9,14,39,1,6,,,,,,1.0,1.0,2.0,9.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,9.0,,,,,,,2.0,,,,,,,,,2,,,5.0,,,,,,,2,,,,,,,,,,,,,,,,1,6000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,4808,4808.0,U,3,280,6339,Robo en calle (a transeúnte),En su vivienda,Mujer
16388,1405678.02,1405678.02.01,1405678.02.01.01,1405678.02.01.01.08.1,1405678,2,1,1,2,8,1,A,1,45,2.0,3,14,39,2,1,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6.0,,,,,,,2,,,,,,,,,,,,,,,,1,600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1112,1112.0,U,4,281,6421,Fraude bancario,En su vivienda,Hombre
16390,1402571.05,1402571.05.01,1402571.05.01.02,1402571.05.01.02.09.3,1402571,5,1,3,3,9,2,A,1,23,2.0,2,14,39,3,5,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4.0,,,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,0.0,0.0,3.0,,,,,1523,1523.0,U,3,280,6385,Extorsión,En su vivienda,Hombre
16391,1403432.02,1403432.02.01,1403432.02.01.01,1403432.02.01.01.02.1,1403432,2,1,1,1,2,1,A,2,32,2.0,2,14,39,4,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,5.0,,,,,,,2,,,,,,,,,,,,,,,,1,3000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,954.0,U,3,280,6348,Robo de accesorios de vehículo,En su vivienda,Mujer
